fue01-15|Mi amigo se inspiraba al tratarlo, con aquel silencioso ardor que caracterizaba su entusiasmo y que sólo se traslucía en el brillo de sus ojos.|Mi amigo se inspiraba al tratarlo, con aquel silencioso ardor que caracterizaba su entusiasmo y que solo se traslucia en el brillo de sus ojos.
fue01-16|Todavía lo veo pasearse por su cuarto, recio, casi cuadrado, con su carota pálida y lampiña, sus ojos pardos de mirada tan singular, sus manos callosas de gañán y de químico a la vez.|Todavia lo veo pasearse por su cuarto, recio, casi cuadrado, con su carota palida y lampina, sus ojos pardos de mirada tan singular, sus manos callosas de ganan y de quimico a la vez.
fue01-17|—Anda por ahí a flor de tierra —solía decirme— más de una fuerza tremenda cuyo descubrimiento se aproxima.|--Anda por ahi a flor de tierra --solia decirme-- mas de una fuerza tremenda cuyo descubrimiento se aproxima.
fue01-18|De esas fuerzas interetéreas que acaban de modificar los más sólidos conceptos de la ciencia, y que justificando las afirmaciones de la sabiduría oculta, dependen cada vez más del intelecto humano.|De esas fuerzas interetereas que acaban de modificar los mas solidos conceptos de la ciencia, y que justificando las afirmaciones de la sabiduria oculta, dependen cada vez mas del intelecto humano.
fue01-19|La identidad de la mente con las fuerzas directrices del cosmos —concluía en ocasiones, filosofando— es cada vez más clara;|La identidad de la mente con las fuerzas directrices del cosmos --concluia en ocasiones, filosofando-- es cada vez mas clara;
fue01-20|y día llegará en que aquella sabrá regirlas sin las máquinas intermediarias, que en realidad deben de ser un estorbo.|y dia llegara en que aquella sabra regirlas sin las maquinas intermediarias, que en realidad deben de ser un estorbo.
fue01-21|Cuando uno piensa que las máquinas no son sino aditamentos con que el ser humano se completa, llevándolas potencialmente en sí,|Cuando uno piensa que las maquinas no son sino aditamentos con que el ser humano se completa, llevandolas potencialmente en si,
fue01-22|según lo prueba al concebirlas y ejecutarlas, los tales aparatos resultan en substancia simples modificaciones de la caña con que se prolonga el brazo para alcanzar un fruto.|segun lo prueba al concebirlas y ejecutarlas, los tales aparatos resultan en substancia simples modificaciones de la cana con que se prolonga el brazo para alcanzar un fruto.
fue01-23|Ya la memoria suprime los dos conceptos fundamentales, los más fundamentales como realidad y como obstáculo —el espacio y el tiempo—|Ya la memoria suprime los dos conceptos fundamentales, los mas fundamentales como realidad y como obstaculo --el espacio y el tiempo--
fue01-24|al evocar instantáneamente un lugar que se vio hace diez años y que se encuentra a mil leguas;|al evocar instantaneamente un lugar que se vio hace diez anos y que se encuentra a mil leguas;
fue01-25|para no hablar de ciertos casos de bilocación telepática, que demuestran mejor la teoría.|para no hablar de ciertos casos de bilocacion telepatica, que demuestran mejor la teoria.
fue01-26|Si estuviera en ésta la verdad, el esfuerzo humano debería tender a la abolición de todo intermediario entre la mente y las fuerzas originales,|Si estuviera en esta la verdad, el esfuerzo humano deberia tender a la abolicion de todo intermediario entre la mente y las fuerzas originales,
fue01-27|a suprimir en lo posible la materia otro axioma de filosofía oculta;|a suprimir en lo posible la materia otro axioma de filosofia oculta;
fue01-28|mas, para esto, hay que poner el organismo en condiciones especiales, activar la mente, acostumbrarla a la comunicación directa con dichas fuerzas.|mas, para esto, hay que poner el organismo en condiciones especiales, activar la mente, acostumbrarla a la comunicacion directa con dichas fuerzas.
fue01-29|Caso de magia. Caso que solamente los miopes no perciben en toda su luminosa sencillez.|Caso de magia. Caso que solamente los miopes no perciben en toda su luminosa sencillez.
fue01-30|Habíamos hablado de la memoria. El cálculo demuestra también una relación directa;|Habiamos hablado de la memoria. El calculo demuestra tambien una relacion directa;
fue01-31|pues si calculando se llega a determinar la posición de un astro desconocido, en un punto del espacio,|pues si calculando se llega a determinar la posicion de un astro desconocido, en un punto del espacio,
fue01-32|es porque hay identidad entre las leyes que rigen al pensamiento humano y al universo.|es porque hay identidad entre las leyes que rigen al pensamiento humano y al universo.
fue01-33|Hay más todavía:es la determinación de un hecho material por medio de una ley intelectual.|Hay mas todavia:es la determinacion de un hecho material por medio de una ley intelectual.
fue01-34|El astro tiene que estar ahí, porque así lo determina mi razón matemática, y esta sanción imperativa equivale casi a una creación.|El astro tiene que estar ahi, porque asi lo determina mi razon matematica, y esta sancion imperativa equivale casi a una creacion.
fue01-35|Sospecho, Dios me perdone, que mi amigo no se limitaba a teorizar el ocultismo,|Sospecho, Dios me perdone, que mi amigo no se limitaba a teorizar el ocultismo,
fue01-36|y que su régimen alimenticio, tanto como su severa continencia, implicaban un entrenamiento;|y que su regimen alimenticio, tanto como su severa continencia, implicaban un entrenamiento;
fue01-37|pero nunca se franqueó sobre este punto y yo fui discreto a mi vez.|pero nunca se franqueo sobre este punto y yo fui discreto a mi vez.
fue01-38|Habíase relacionado con nosotros, poco antes de los sucesos que voy a narrar,|Habiase relacionado con nosotros, poco antes de los sucesos que voy a narrar,
fue01-39|un joven médico a quien sólo faltan sus exámenes generales, que quizá nunca llegue a dar pues se ha dedicado a la filosofía;|un joven medico a quien solo faltan sus examenes generales, que quiza nunca llegue a dar pues se ha dedicado a la filosofia;
fue01-40|y éste era el otro confidente que debía escuchar la revelación.|y este era el otro confidente que debia escuchar la revelacion.
fue01-41|Fue a la vuelta de unas largas vacaciones que nos habían separado del descubridor.|Fue a la vuelta de unas largas vacaciones que nos habian separado del descubridor.
fue01-42|Encontrámoslo algo más nervioso, pero radiante con una singular inspiración,|Encontramoslo algo mas nervioso, pero radiante con una singular inspiracion,
fue01-43|y su primera frase fue para invitarnos a una especie de tertulia filosófica —tales sus palabras—|y su primera frase fue para invitarnos a una especie de tertulia filosofica --tales sus palabras--
fue01-44|donde debía exponernos el descubrimiento.|donde debia exponernos el descubrimiento.
fue01-45|En el laboratorio habitual, que presentaba al mismo tiempo un vago aspecto de cerrajería,|En el laboratorio habitual, que presentaba al mismo tiempo un vago aspecto de cerrajeria,
fue01-46|y en cuya atmósfera flotaba un dejo de cloro, empezó la conferencia.|y en cuya atmosfera flotaba un dejo de cloro, empezo la conferencia.
fue01-47|Con su voz clara de siempre, su aspecto negligente,|Con su voz clara de siempre, su aspecto negligente,
fue01-48|sus manos extendidas sobre la mesa como durante los discursos psíquicos, nuestro amigo enunció esta cosa sorprendente:|sus manos extendidas sobre la mesa como durante los discursos psiquicos, nuestro amigo enuncio esta cosa sorprendente:
fue01-49|—He descubierto la potencia mecánica del sonido.|--He descubierto la potencia mecanica del sonido.
fue01-50|Saben ustedes —agregó, sin preocuparse mayormente del efecto causado por su revelación—,|Saben ustedes --agrego, sin preocuparse mayormente del efecto causado por su revelacion--,
fue01-51|saben ustedes bastante de estas cosas para comprender que no se trata de nada sobrenatural.|saben ustedes bastante de estas cosas para comprender que no se trata de nada sobrenatural.
fue01-52|Es un gran hallazgo, ciertamente, pero no superior a la onda hertziana o al rayo Roentgen.|Es un gran hallazgo, ciertamente, pero no superior a la onda hertziana o al rayo Roentgen.
fue01-53|A propósito, yo he puesto también un nombre a mi fuerza.|A proposito, yo he puesto tambien un nombre a mi fuerza.
fue01-54|Y como ella es la última en la síntesis vibratoria cuyos otros componentes son el calor,|Y como ella es la ultima en la sintesis vibratoria cuyos otros componentes son el calor,
fue01-55|la luz y la electricidad, la he llamado la fuerza Omega.|la luz y la electricidad, la he llamado la fuerza Omega.
fue01-56|—Pero ¿el sonido no es cosa distinta?… —preguntó el médico.|--Pero ?el sonido no es cosa distinta?... --pregunto el medico.
fue01-57|—No, desde que la electricidad y la luz están consideradas ahora como materia.|--No, desde que la electricidad y la luz estan consideradas ahora como materia.
fue01-58|Falta todavía el calor;|Falta todavia el calor;
fue01-59|pero la analogía nos lleva rápidamente a conjeturar la identidad de su naturaleza,|pero la analogia nos lleva rapidamente a conjeturar la identidad de su naturaleza,
fue01-60|y veo cercano el día en que se demuestre este postulado para mí evidente:|y veo cercano el dia en que se demuestre este postulado para mi evidente:
fue01-61|que si los cuerpos se dilatan al calentarse, o en otros términos,|que si los cuerpos se dilatan al calentarse, o en otros terminos,
fue01-62|si sus espacios intermoleculares aumentan, es porque entre ellos se ha introducido algo y que este algo es el calor.|si sus espacios intermoleculares aumentan, es porque entre ellos se ha introducido algo y que este algo es el calor.
fue01-63|De lo contrario, habría que recurrir al vacío aborrecido por la naturaleza y por la razón.|De lo contrario, habria que recurrir al vacio aborrecido por la naturaleza y por la razon.
fue01-64|El sonido es materia para mí;|El sonido es materia para mi;
fue01-65|pero esto resultará mejor de la propia exposición de mi descubrimiento.|pero esto resultara mejor de la propia exposicion de mi descubrimiento.
fue01-66|La idea, vaga aunque intensa hasta el deslumbramiento, me vino —cosa singular— la primera vez que vi afinar una campana.|La idea, vaga aunque intensa hasta el deslumbramiento, me vino --cosa singular-- la primera vez que vi afinar una campana.
fue01-67|Claro es que no se puede determinar de antemano la nota precisa de una campana, pues la fundición cambiaría el tono.|Claro es que no se puede determinar de antemano la nota precisa de una campana, pues la fundicion cambiaria el tono.
fue01-68|Una vez fundida, es menester recortarla al torno, para lo cual hay dos reglas;|Una vez fundida, es menester recortarla al torno, para lo cual hay dos reglas;
fue01-69|si se quiere bajar el tono, hay que disminuir la línea media llamada “falseadura”;|si se quiere bajar el tono, hay que disminuir la linea media llamada "falseadura";
fue01-70|si subirlo, es menester recortar la “pata”, o sea el reborde, y la afinación se practica al oído como la de un piano.|si subirlo, es menester recortar la "pata", o sea el reborde, y la afinacion se practica al oido como la de un piano.
fue01-71|Puede bajarse hasta un tono, pero no subirse sino medio;|Puede bajarse hasta un tono, pero no subirse sino medio;
fue01-72|pues cortando mucho la pata, el instrumento pierde su sonoridad.|pues cortando mucho la pata, el instrumento pierde su sonoridad.
fue01-73|Al pensar que si la pierde no es porque deje de vibrar, me vino esta idea, base de todo el invento:|Al pensar que si la pierde no es porque deje de vibrar, me vino esta idea, base de todo el invento:
fue01-74|la vibración sonora se vuelve fuerza mecánica y por esto deja de ser sonido;|la vibracion sonora se vuelve fuerza mecanica y por esto deja de ser sonido;
fue01-75|pero la cosa se precisó durante las vacaciones, mientras ustedes veraneaban, lo cual aumentó, con la soledad, mi concentración.|pero la cosa se preciso durante las vacaciones, mientras ustedes veraneaban, lo cual aumento, con la soledad, mi concentracion.
fue01-76|Ocupábame en modificar discos de fonógrafo y aquello me traía involuntariamente al tema.|Ocupabame en modificar discos de fonografo y aquello me traia involuntariamente al tema.
fue01-77|Había pensado construir una especie de diapasón para destacar, y percibir directamente por lo tanto,|Habia pensado construir una especie de diapason para destacar, y percibir directamente por lo tanto,
fue01-78|las armónicas de la voz humana, lo que no es posible sino por medio de un piano, y siempre con gran imperfección;|las armonicas de la voz humana, lo que no es posible sino por medio de un piano, y siempre con gran imperfeccion;
fue01-79|cuando de repente, con claridad tal que en dos noches de trabajo concebí toda la teoría, el hecho se produjo.|cuando de repente, con claridad tal que en dos noches de trabajo concebi toda la teoria, el hecho se produjo.
fue01-80|Cuando se hace vibrar un diapasón que está al mismo tono con otro, |Cuando se hace vibrar un diapason que esta al mismo tono con otro, 
fue01-81|éste vibra también por influencia al cabo de poco tiempo, lo que prueba que la onda sonora,|este vibra tambien por influencia al cabo de poco tiempo, lo que prueba que la onda sonora,
fue01-82|o en otros términos, el aire agitado, tiene fuerza suficiente para poner en movimiento el metal.|o en otros terminos, el aire agitado, tiene fuerza suficiente para poner en movimiento el metal.
fue01-83|Dada la relación que existe entre el peso, densidad y tenacidad de éste con los del aire, esa fuerza tiene que ser enorme;|Dada la relacion que existe entre el peso, densidad y tenacidad de este con los del aire, esa fuerza tiene que ser enorme;
fue01-84|y sin embargo, no es capaz de mover una hebra de paja que un soplo humano aventaría,|y sin embargo, no es capaz de mover una hebra de paja que un soplo humano aventaria,
fue01-85|siendo a su vez impotente para hacer vibrar en forma perceptible el metal.|siendo a su vez impotente para hacer vibrar en forma perceptible el metal.
fue01-86|La onda sonora es, pues, más o menos poderosa que el soplo de nuestro ejemplo.|La onda sonora es, pues, mas o menos poderosa que el soplo de nuestro ejemplo.
fue01-87|Esto depende de las circunstancias;|Esto depende de las circunstancias;
fue01-88|y en el caso de los diapasones, la circunstancia debe ser una relación molecular,|y en el caso de los diapasones, la circunstancia debe ser una relacion molecular,
fue01-89|puesto que si ellos no están al unísono, el fenómeno marra.|puesto que si ellos no estan al unisono, el fenomeno marra.
fue01-90|Había, pues, que aplicar la fuerza sonora a fenómenos intermoleculares.|Habia, pues, que aplicar la fuerza sonora a fenomenos intermoleculares.
fue01-91|No creo que la concepción de la fuerza sonora necesite mucho ingenio.|No creo que la concepcion de la fuerza sonora necesite mucho ingenio.
fue01-92|Cualquiera ha sentido las pulsaciones del aire en los sonidos muy bajos,|Cualquiera ha sentido las pulsaciones del aire en los sonidos muy bajos,
fue01-93|los que produce el nasardo de un órgano, por ejemplo.|los que produce el nasardo de un organo, por ejemplo.
fue01-94|Parece que las dieciséis vibraciones por segundo que engendra un tubo de treinta y dos pies|Parece que las dieciseis vibraciones por segundo que engendra un tubo de treinta y dos pies
fue01-95|marcan el límite inferior del sonido perceptible, que no es ya sino un zumbido.|marcan el limite inferior del sonido perceptible, que no es ya sino un zumbido.
fue01-96|Con menos vibraciones, el movimiento se vuelve un soplo de aire;|Con menos vibraciones, el movimiento se vuelve un soplo de aire;
fue01-97|el soplo que movería la brizna, pero que no afectaría al diapasón.|el soplo que moveria la brizna, pero que no afectaria al diapason.
fue01-98|Esas vibraciones bajas, verdadero viento melodioso, son las que hacen trepidar las vidrieras de las catedrales;|Esas vibraciones bajas, verdadero viento melodioso, son las que hacen trepidar las vidrieras de las catedrales;
fue01-99|pero no forman ya notas, propiamente hablando, y sólo sirven para reforzar las octavas inmediatamente superiores.|pero no forman ya notas, propiamente hablando, y solo sirven para reforzar las octavas inmediatamente superiores.
fue01-100|Cuanto más alto es el sonido, más se aleja de su semejanza con el viento y más disminuye la longitud de su onda;|Cuanto mas alto es el sonido, mas se aleja de su semejanza con el viento y mas disminuye la longitud de su onda;
fue01-101|pero si ha de considerársela como fuerza intermolecular, ella es enorme todavía en los sonidos más altos de los instrumentos;|pero si ha de considerarsela como fuerza intermolecular, ella es enorme todavia en los sonidos mas altos de los instrumentos;
fue01-102|pues el del piano con el do séptimo, que corresponde a un máximum de 4200 vibraciones por segundo, tiene una onda de tres pulgadas.|pues el del piano con el do septimo, que corresponde a un maximum de cuatro mil doscientos vibraciones por segundo, tiene una onda de tres pulgadas.
fue01-103|La flauta, que llega a 4700 vibraciones, da una onda gigantesca todavía.|La flauta, que llega a cuatro mil setecientos vibraciones, da una onda gigantesca todavia.
fue01-104|La longitud de la onda depende, pues, de la altura del sonido,|La longitud de la onda depende, pues, de la altura del sonido,
fue01-105|que deja ya de ser musical poco más allá de las 4700 vibraciones mencionadas.|que deja ya de ser musical poco mas alla de las cuatro mil setecientos vibraciones mencionadas.
fue01-106|Despretz ha podido percibir un do, que vendría a ser el décimo, con 32770 vibraciones|Despretz ha podido percibir un do, que vendria a ser el decimo, con treinta y dos mil setecientos setenta vibraciones
fue01-107|producidas por el frote de un arco sobre un pequeñísimo diapasón.|producidas por el frote de un arco sobre un pequenisimo diapason.
fue01-108|Yo percibo sonido aún, pero sin determinación musical posible, en las 45000 vibraciones del diapasón que he inventado.|Yo percibo sonido aun, pero sin determinacion musical posible, en las cuarenta y cinco mil vibraciones del diapason que he inventado.
fue01-109|—¡45000 vibraciones! —dije—:|--!cuarenta y cinco mil vibraciones! --dije--:
fue01-110|¡Eso es prodigioso!|!Eso es prodigioso!
fue01-111|Pronto vas a verlo —prosiguió el inventor—.|Pronto vas a verlo --prosiguio el inventor--.
fue01-112|Ten paciencia un instante todavía.|Ten paciencia un instante todavia.
fue01-113|Y después de ofrecernos té, que rehusamos:|Y despues de ofrecernos te, que rehusamos:
fue01-114|—La vibración sonora se vuelve casi recta con estas altísimas frecuencias,|--La vibracion sonora se vuelve casi recta con estas altisimas frecuencias,
fue01-115|y tiende igualmente a perder su forma curvilínea, tornándose más bien un zigzag a medida que el sonido se exaspera.|y tiende igualmente a perder su forma curvilinea, tornandose mas bien un zigzag a medida que el sonido se exaspera.
fue01-116|Esto se ha experimentado prácticamente cerdeando un violín.|Esto se ha experimentado practicamente cerdeando un violin.
fue01-117|Hasta aquí no salimos de lo conocido, bien en que no sea vulgar.|Hasta aqui no salimos de lo conocido, bien en que no sea vulgar.
fue01-118|Pero ya he dicho que me proponía estudiar el sonido como fuerza.|Pero ya he dicho que me proponia estudiar el sonido como fuerza.
fue01-119|He aquí mi teoría, que la experiencia ha confirmado:|He aqui mi teoria, que la experiencia ha confirmado:
fue01-120|Cuanto más bajo es el sonido, más superficiales son sus efectos sobre los cuerpos.|Cuanto mas bajo es el sonido, mas superficiales son sus efectos sobre los cuerpos.
fue01-121|Después de lo que sabemos, esto es bien sencillo.|Despues de lo que sabemos, esto es bien sencillo.
fue01-122|La fuerza penetrante del sonido depende, pues, de su altura;|La fuerza penetrante del sonido depende, pues, de su altura;
fue01-123|y como a ésta corresponde, según dije, una menor ondulación,|y como a esta corresponde, segun dije, una menor ondulacion,
fue01-124|resulta que mi onda sonora de 45000 vibraciones por segundo es casi una flecha ligerísimamente ondulada.|resulta que mi onda sonora de cuarenta y cinco mil vibraciones por segundo es casi una flecha ligerisimamente ondulada.
fue01-125|Por pequeña que sea esta ondulación, siempre es excesiva molecularmente hablando;|Por pequena que sea esta ondulacion, siempre es excesiva molecularmente hablando;
fue01-126|y como mis diapasones no pueden reducirse más, era menester ingeniarse de otro modo.|y como mis diapasones no pueden reducirse mas, era menester ingeniarse de otro modo.
fue01-127|Había, además, otro inconveniente.|Habia, ademas, otro inconveniente.
fue01-128|Las curvas de la onda sonora están relacionadas con su propagación, |Las curvas de la onda sonora estan relacionadas con su propagacion, 
fue01-129|de tal modo que su ampliación progresa con gran velocidad hasta anularla como sonido,|de tal modo que su ampliacion progresa con gran velocidad hasta anularla como sonido,
fue01-130|imposibilitando a la vez su desarrollo como fuerza;|imposibilitando a la vez su desarrollo como fuerza;
fue01-131|pero tanto este inconveniente, como el que resulta de la ondulación en sí,|pero tanto este inconveniente, como el que resulta de la ondulacion en si,
fue01-132|desaparecerían multiplicando la velocidad de traslación.|desaparecerian multiplicando la velocidad de traslacion.
fue01-133|De ésta depende que la onda no pierda la rectitud, que como toda curva tiene al comenzar,|De esta depende que la onda no pierda la rectitud, que como toda curva tiene al comenzar,
fue01-134|y al logro de semejante propósito concurrió una ley científica.|y al logro de semejante proposito concurrio una ley cientifica.
fue01-135|Fourier, el célebre matemático francés, ha enunciado un principio aplicable a las ondas simples|Fourier, el celebre matematico frances, ha enunciado un principio aplicable a las ondas simples
fue01-136|—las de mi problema— que puede traducirse vulgarmente así:|--las de mi problema-- que puede traducirse vulgarmente asi:
fue01-137|Cualquier forma de onda puede estar compuesta por cierto número de ondas simples de longitudes diferentes.|Cualquier forma de onda puede estar compuesta por cierto numero de ondas simples de longitudes diferentes.
fue01-138|Siendo ello así, si yo pudiera lanzar sucesivamente un número cualquiera de ondas en progresión proporcional,|Siendo ello asi, si yo pudiera lanzar sucesivamente un numero cualquiera de ondas en progresion proporcional,
fue01-139|la velocidad de la primera sería la suma de las velocidades de todas juntas;|la velocidad de la primera seria la suma de las velocidades de todas juntas;
fue01-140|la proporción entre las ondulaciones de aquélla y su traslación quedaba rota con ventaja,|la proporcion entre las ondulaciones de aquella y su traslacion quedaba rota con ventaja,
fue01-141|y libertada por lo tanto la potencia mecánica del sonido.|y libertada por lo tanto la potencia mecanica del sonido.
fue01-142|Mi aparato va a demostrarles que todo esto se puede;|Mi aparato va a demostrarles que todo esto se puede;
fue01-143|pero aún no les he dicho lo que me proponía hacer.|pero aun no les he dicho lo que me proponia hacer.
fue01-144|Yo considero que el sonido es materia, desprendida en partículas infinitesimales del cuerpo sonoro,|Yo considero que el sonido es materia, desprendida en particulas infinitesimales del cuerpo sonoro,
fue01-145|y dinamizada en tal forma, que da la sensación de sonido, como las partículas odoríferas dan la sensación del olor.|y dinamizada en tal forma, que da la sensacion de sonido, como las particulas odoriferas dan la sensacion del olor.
fue01-146|Esa materia se desprende en la forma ondulatoria comprobada por la ciencia y que yo me proponía modificar,|Esa materia se desprende en la forma ondulatoria comprobada por la ciencia y que yo me proponia modificar,
fue01-147|engendrando la onda aérea conocida por nosotros;|engendrando la onda aerea conocida por nosotros;
fue01-148|del propio modo que la ondulación de una anguila bajo el agua es repetida por ésta en su superficie.|del propio modo que la ondulacion de una anguila bajo el agua es repetida por esta en su superficie.
fue01-149|Cuando la doble onda choca con un cuerpo, la parte aérea se refleja contra su superficie;|Cuando la doble onda choca con un cuerpo, la parte aerea se refleja contra su superficie;
fue01-150|la aérea penetra, produciendo la vibración del cuerpo y sin ninguna otra consecuencia,|la aerea penetra, produciendo la vibracion del cuerpo y sin ninguna otra consecuencia,
fue01-151|pues el éter del cuerpo supuesto se dinamiza armónicamente con el de la onda, difundido en él;|pues el eter del cuerpo supuesto se dinamiza armonicamente con el de la onda, difundido en el;
fue01-152|y ésta es la explicación, que se da por primera vez, de las vibraciones al unísono.|y esta es la explicacion, que se da por primera vez, de las vibraciones al unisono.
fue01-153|Una vez rota la relación entre las ondulaciones y su propagación,|Una vez rota la relacion entre las ondulaciones y su propagacion,
fue01-154|el éter sonoro no se difunde en la masa del cuerpo, sino que la perfora, ya completamente, ya hasta cierta profundidad.|el eter sonoro no se difunde en la masa del cuerpo, sino que la perfora, ya completamente, ya hasta cierta profundidad.
fue01-155|Y aquí viene la explicación misma de los fenómenos que produzco.|Y aqui viene la explicacion misma de los fenomenos que produzco.
fue01-156|Todo cuerpo tiene un centro formado por la gravitación de moléculas que constituye su cohesión,|Todo cuerpo tiene un centro formado por la gravitacion de moleculas que constituye su cohesion,
fue01-157|y que representa el peso total de dichas moléculas.|y que representa el peso total de dichas moleculas.
fue01-158|No necesito advertir que ese centro puede encontrarse en cualquier punto del cuerpo.|No necesito advertir que ese centro puede encontrarse en cualquier punto del cuerpo.
fue01-159|Las moléculas representan aquí lo que las masas planetarias en el espacio.|Las moleculas representan aqui lo que las masas planetarias en el espacio.
fue01-160|Claro es que el más mínimo desplazamiento del centro en cuestión ocasionará instantáneamente la desintegración del cuerpo;|Claro es que el mas minimo desplazamiento del centro en cuestion ocasionara instantaneamente la desintegracion del cuerpo;
fue01-161|pero no es menos cierto que para efectuarlo, venciendo la cohesión molecular,|pero no es menos cierto que para efectuarlo, venciendo la cohesion molecular,
fue01-162|se necesitaría una fuerza enorme, algo de que la mecánica actual no tiene idea, y que yo he descubierto, sin embargo.|se necesitaria una fuerza enorme, algo de que la mecanica actual no tiene idea, y que yo he descubierto, sin embargo.
fue01-163|Tyndall ha dicho en un ejemplo gráfico que la fuerza del puñado de nieve contenido en la mano de un niño|Tyndall ha dicho en un ejemplo grafico que la fuerza del punado de nieve contenido en la mano de un nino
fue01-164|bastaría para hacer volar en pedazos una montaña.|bastaria para hacer volar en pedazos una montana.
fue01-165|Calculen ustedes lo que se necesitará para vencer esa fuerza.|Calculen ustedes lo que se necesitara para vencer esa fuerza.
fue01-166|Y yo desintegro bloques de granito de un metro cúbico…|Y yo desintegro bloques de granito de un metro cubico...
fue01-167|Decía aquello sencillamente, como la cosa más natural, sin ocuparse de nuestra aquiescencia.|Decia aquello sencillamente, como la cosa mas natural, sin ocuparse de nuestra aquiescencia.
fue01-168|Nosotros, aunque vagamente, íbamonos turbando con la inminencia de una gran revelación;|Nosotros, aunque vagamente, ibamonos turbando con la inminencia de una gran revelacion;
fue01-169|pero acostumbrados al tono autoritario de nuestro amigo, nada replicábamos.|pero acostumbrados al tono autoritario de nuestro amigo, nada replicabamos.
fue01-170|Nuestros ojos, eso sí, buscaban al descuido por el taller los misteriosos aparatos.|Nuestros ojos, eso si, buscaban al descuido por el taller los misteriosos aparatos.
fue01-171|A no ser un volante de eje solidísimo, nada había que no nos fuese familiar.|A no ser un volante de eje solidisimo, nada habia que no nos fuese familiar.
fue01-172|—Llegamos —prosiguió el descubridor— al final de la exposición.|--Llegamos --prosiguio el descubridor-- al final de la exposicion.
fue01-173|Había dicho que necesitaba ondas sonoras susceptibles de ser lanzadas en progresión proporcional,|Habia dicho que necesitaba ondas sonoras susceptibles de ser lanzadas en progresion proporcional,
fue01-174|y a vuelta de muchos tanteos, que no es menester describirlos, di con ellas.|y a vuelta de muchos tanteos, que no es menester describirlos, di con ellas.
fue01-175|Eran el do, fa, sol, do, que según la tradición antigua constituían la lira de Orfeo|Eran el do, fa, sol, do, que segun la tradicion antigua constituian la lira de Orfeo
fue01-176|y que contienen los intervalos más importantes de la declamación, es decir, el secreto musical de la voz humana.|y que contienen los intervalos mas importantes de la declamacion, es decir, el secreto musical de la voz humana.
fue01-177|La relación de estas ondas es matemáticamente 1, 4/3, 3/2, 2;|La relacion de estas ondas es matematicamente uno, cuatro/tres, tres/dos, dos;
fue01-178|y arrancadas de la naturaleza, sin un agregado o deformación que las altere, son también una fuerza original.|y arrancadas de la naturaleza, sin un agregado o deformacion que las altere, son tambien una fuerza original.
fue01-179|Ya ven ustedes que la lógica de los hechos iba paralela con la de la teoría.|Ya ven ustedes que la logica de los hechos iba paralela con la de la teoria.
fue01-180|Procedí entonces a construir mi aparato;|Procedi entonces a construir mi aparato;
fue01-181|mas, para llegar al que ustedes ven aquí —dijo sacando de su bolsillo un disco harto semejante a un reloj de níquel—,|mas, para llegar al que ustedes ven aqui --dijo sacando de su bolsillo un disco harto semejante a un reloj de niquel--,
fue01-182|ensayé diversas máquinas.|ensaye diversas maquinas.
